operator,class,bugSeverity,stubborn,killed,subject,categories,labels,testRequirement,candidate
StyleSize,noneq,0.5,2.0,False,addressbook,['wrongSize'],['cosmetic'],['assert'],StyleSize_AddressBookRemoveFromMultipleGroupsTest_35_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR2-TD8
TextInsert,noneq,2.0,2.0,False,addressbook,['unExpectedElements'],['missingInfo'],['assert'],TextInsert_AddressBookRemoveFromMultipleGroupsTest_35_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR1-TH6
TextInsert,noneq,2.0,2.0,False,addressbook,['unExpectedElements'],['missingInfo'],['assert'],TextInsert_AddressBookRemoveFromMultipleGroupsTest_35_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR1-TH9
StyleVisibility,noneq,2.5,2.0,False,addressbook,"['missingElements', 'brokenLink']","['missingInfo', 'wrongPage']",['execute'],StyleVisibility_AddressBookRemoveFromGroupTest_35_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR2-TD9
AttributeDelete,noneq,0.5,2.0,False,addressbook,['wrongSize'],['cosmetic'],['assert'],AttributeDelete_AddressBookEditAddressBookTest_32_-HTML1-BODY1-DIV1-DIV4-FORM1-INPUT8
StyleVisibility,noneq,2.5,2.0,False,addressbook,"['missingElements', 'brokenLink']","['missingInfo', 'wrongPage']",['execute'],StyleVisibility_AddressBookAddMultipleAddressBookTest_84_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR3-TD8-A1
StylePosition,noneq,0.5,2.0,False,addressbook,['wrongPosition'],['cosmetic'],['assert'],StylePosition_AddressBookEditMultipleGroupsTest_35_-HTML1-BODY1-DIV1-DIV4-FORM1-SELECT1
AttributeReplace,noneq,2.5,3.0,False,addressbook,['brokenLink'],['wrongPage'],['executeAssertImmediate'],AttributeReplace_AddressBookRemoveFromGroupTest_35_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR2-TD10-A1
SubtreeDelete,noneq,2.5,2.0,True,addressbook,['missingElements'],"['missingInfo', 'wrongPage']",['execute'],SubtreeDelete_AddressBookRemoveMultipleAddressBookTest_36_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR2-TD7
SubtreeDelete,noneq,2.5,1.0,False,addressbook,['missingElements'],"['missingInfo', 'wrongPage']",['find'],SubtreeDelete_AddressBookRemoveMultipleAddressBookTest_36_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR2-TD9
StylePosition,noneq,0.5,2.0,False,addressbook,['wrongPosition'],['cosmetic'],['assert'],StylePosition_AddressBookAssignToMultipleGroupsTest_32_-HTML1-BODY1-DIV1-DIV4-FORM2-DIV4-INPUT1
SubtreeDelete,noneq,2.5,3.0,False,addressbook,['missingElements'],"['missingInfo', 'wrongPage']","['execute', 'executeAssertImmediate']",SubtreeDelete_AddressBookAddAddressBookTest_49_-HTML1-BODY1-DIV1-DIV1
EventHandlerAdd,noneq,2.5,3.0,False,addressbook,['brokenEventHandling'],['codeError'],['executeAssertImmediate'],EventHandlerAdd_AddressBookPrintAddressBookTest_32_-HTML1-BODY1-DIV1-DIV1-TABLE1-TBODY1-TR1-TD1-A1
StyleColor,noneq,0.5,2.0,False,addressbook,['wrongColor'],['cosmetic'],['assert'],StyleColor_AddressBookRemoveFromMultipleGroupsTest_35_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR1-TH2-A1
StyleSize,noneq,1.0,2.0,True,addressbook,"['wrongPosition', 'wrongSize']","['cosmetic', 'css']",['assert'],StyleSize_AddressBookRemoveMultipleAddressBookTest_36_-HTML1-BODY1-DIV1-DIV4-LABEL1-STRONG1-SPAN1
EventHandlerDelete,noneq,2.5,3.0,False,addressbook,['brokenEventHandling'],['codeError'],['executeAssertImmediate'],EventHandlerDelete_AddressBookAddAddressBookTest_52_-HTML1-BODY1-DIV1-DIV4-FORM2-TABLE1-TBODY1-TR1-TH3
TextDelete,noneq,2.0,2.0,False,addressbook,['missingElements'],['missingInfo'],['assert'],TextDelete_AddressBookAddAddressBookTest_33_-HTML1-BODY1-DIV1-DIV3-UL1-LI7-A1
SubtreeInsert,noneq,2.0,2.0,False,addressbook,['unExpectedElements'],['missingInfo'],['assert'],SubtreeInsert_AddressBookAddGroupTest_32_-HTML1-BODY1-DIV1-DIV4
StyleSize,noneq,1.0,2.0,True,addressbook,"['wrongPosition', 'wrongSize', 'wrongElementState']","['codeError', 'cosmetic', 'css']",['execute'],StyleSize_AddressBookAddAddressBookTest_33_-HTML1-BODY1-DIV1-DIV3-UL1-LI3
